County,Less_than_HS_pct,HS_graduate_pct,Bachelors_or_higher_pct
Apache,9.0,78.2,6.7
Cochise,6.5,76.6,5.9
Coconino,5.3,84.6,6.9
Gila,10.2,79.0,7.2
Graham,11.1,80.0,5.6
Greenlee,9.3,84.2,0.5
La Paz,11.4,66.0,11.6
Maricopa,5.9,72.7,4.6
Mohave,8.7,74.5,7.6
Navajo,9.4,75.2,6.5
Pima,6.3,78.2,5.5
Pinal,7.1,77.1,4.6
Santa Cruz,12.0,72.8,5.1
Yavapai,5.7,75.6,5.2
Yuma,11.4,64.9,5.9
